1;23648;25601;27915;;;
2;23506;24862;27886;;;
3;23366;24325;26892;;;
4;23155;23855;26322;;;
5;22861;23589;25283;;;
6;22819;23463;27357;;;
7;22629;23218;25810;;;
8;22535;23066;24771;;;
9;22516;23019;25337;;;
10;22423;22797;24165;;;
11;22240;22700;24106;;;
12;22240;22610;24071;;;
13;22064;22623;26354;;;
14;22006;22507;24018;;;
15;22006;22416;25346;;;
16;22006;22278;24266;;;
17;21821;22183;23810;;;
18;21821;22194;24950;;;
19;21821;22027;23984;;;
20;21821;21955;24637;;;
21;21821;21978;24717;;;
22;21821;21877;23274;;;
23;21821;22003;26092;;;
24;21789;21940;24223;;;
25;21789;21951;24717;;;
26;21712;21906;25096;;;
27;21789;21920;24076;;;
28;21751;21872;24076;;;
29;21751;21971;24715;;;
30;21732;21920;23868;;;
31;21732;21899;24656;;;
32;21732;21853;25050;;;
33;21732;21772;22522;;;
34;21732;21811;24059;;;
35;21732;21800;23787;;;
36;21732;21802;23868;;;
37;21732;21765;23089;;;
38;21732;21881;26248;;;
39;21392;21801;23260;;;
40;21392;21913;25012;;;
41;21392;21887;24485;;;
42;21392;21778;24084;;;
43;21392;21666;24598;;;
44;21392;21500;24235;;;
45;21392;21493;24994;;;
46;21392;21506;22939;;;
47;21392;21414;22231;;;
48;21392;21481;24141;;;
49;21392;21475;26071;;;
50;21392;21527;24667;;;
51;21392;21536;24667;;;
52;21392;21592;24562;;;
53;21392;21504;23360;;;
54;21392;21451;23830;;;
55;21392;21602;24994;;;
56;21392;21439;23360;;;
57;21392;21441;22567;;;
58;21392;21489;24667;;;
59;21392;21551;24748;;;
60;21392;21474;23775;;;
61;21392;21493;24562;;;
62;21392;21486;23686;;;
63;21392;21451;22512;;;
64;21392;21484;24667;;;
65;21392;21580;24308;;;
66;21392;21459;22999;;;
67;21392;21492;22999;;;
68;21392;21552;24175;;;
69;21392;21454;23360;;;
70;21392;21469;23407;;;
71;21392;21586;25213;;;
72;21392;21504;24308;;;
73;21392;21460;22457;;;
74;21392;21492;23910;;;
75;21392;21529;23665;;;
76;21392;21480;23979;;;
77;21392;21484;23278;;;
78;21392;21470;23407;;;
79;21392;21551;26071;;;
80;21392;21469;23979;;;
81;21392;21442;22269;;;
82;21359;21494;23810;;;
83;21359;21483;24610;;;
84;21330;21577;24919;;;
85;21330;21426;23830;;;
86;21330;21447;24768;;;
87;21330;21446;25222;;;
88;21330;21371;24090;;;
89;21330;21424;24612;;;
90;21330;21407;24754;;;
91;21330;21394;22587;;;
92;21330;21414;23788;;;
93;21330;21385;22415;;;
94;21330;21415;23228;;;
95;21330;21437;25335;;;
96;21330;21398;22632;;;
97;21330;21415;24090;;;
98;21330;21505;25222;;;
99;21330;21471;24754;;;
100;21330;21401;23369;;;
