1;445615;461017;486797;;;
2;438735;456000;475900;;;
3;437516;451777;473895;;;
4;436005;448917;474318;;;
5;434455;445584;461915;;;
6;431956;443667;464631;;;
7;431045;441729;462362;;;
8;426142;439531;464726;;;
9;422653;437764;456084;;;
10;425947;436056;456106;;;
11;425122;434502;450977;;;
12;423678;432955;452612;;;
13;418722;430482;447589;;;
14;418630;428656;449642;;;
15;418722;427407;447236;;;
16;417361;425885;444541;;;
17;417254;424771;446041;;;
18;415323;422943;443660;;;
19;415237;421280;435316;;;
20;414027;420658;439821;;;
21;414027;420062;436638;;;
22;408355;419304;443653;;;
23;408355;418315;433849;;;
24;408355;417741;436265;;;
25;407702;416620;432385;;;
26;407448;415096;431903;;;
27;407115;412126;428680;;;
28;407115;409689;427654;;;
29;406832;408758;423309;;;
30;405991;408256;419660;;;
31;405530;407735;423150;;;
32;404401;407340;414937;;;
33;404016;406999;416681;;;
34;403979;406629;430725;;;
35;403999;405982;429023;;;
36;403350;405373;423061;;;
37;403350;404999;412487;;;
38;403161;404643;412795;;;
39;402630;404523;417320;;;
40;402184;404351;419650;;;
41;402184;404141;414566;;;
42;402184;403885;421064;;;
43;401091;403615;412350;;;
44;401091;403530;416434;;;
45;401091;403172;413692;;;
46;400795;403155;421877;;;
47;400795;402478;414542;;;
48;400795;402073;410030;;;
49;400286;401718;419492;;;
50;399781;401423;413242;;;
51;399935;401333;415433;;;
52;399866;401142;408245;;;
53;399453;400947;409394;;;
54;399154;400754;415058;;;
55;398822;400295;410007;;;
56;398367;399951;411732;;;
57;398367;399797;411723;;;
58;398367;399447;409679;;;
59;398041;399031;408082;;;
60;398167;398995;412000;;;
61;398159;398739;415680;;;
62;398077;398747;416034;;;
63;397889;398605;405567;;;
64;397801;398604;410504;;;
65;397801;398519;408020;;;
66;397580;398369;417962;;;
67;397580;398411;410215;;;
68;397425;398263;406456;;;
69;397305;398185;408553;;;
70;396998;398007;407301;;;
71;396998;397807;406329;;;
72;396914;397778;421967;;;
73;396829;397454;411842;;;
74;396829;397478;410502;;;
75;396786;397309;412760;;;
76;396289;397413;408919;;;
77;396289;397153;409146;;;
78;396289;397252;412491;;;
79;396289;397206;409160;;;
80;396185;397110;405714;;;
81;396035;397057;407841;;;
82;396035;397016;412887;;;
83;396025;396728;417714;;;
84;395893;396517;408487;;;
85;395893;396542;408311;;;
86;395798;396395;409914;;;
87;395798;396433;410203;;;
88;395798;396382;413516;;;
89;395255;396252;407253;;;
90;395144;396212;407789;;;
91;395122;396184;413526;;;
92;394943;396064;408459;;;
93;394581;395956;422022;;;
94;394943;395418;406015;;;
95;394211;395432;412704;;;
96;394211;395383;408857;;;
97;394211;395343;406972;;;
98;394138;395232;409212;;;
99;394138;395122;412121;;;
100;394138;394710;412587;;;
101;394138;394566;409434;;;
102;394138;394433;405865;;;
103;394050;394633;411048;;;
104;393305;394484;410510;;;
105;393305;394431;408469;;;
106;393305;394432;411289;;;
107;393143;394378;403141;;;
108;393143;394184;404738;;;
109;393143;393708;414253;;;
110;393143;393578;403262;;;
111;393103;393528;406598;;;
112;393103;393519;402157;;;
113;393103;393541;409399;;;
114;393103;393550;401302;;;
115;393103;393473;400559;;;
116;392512;393544;409010;;;
117;392512;393604;415906;;;
118;392512;393404;402436;;;
119;392512;393546;411878;;;
120;392512;393373;400247;;;
121;392343;393302;404642;;;
122;392343;393356;407473;;;
123;392343;393056;416796;;;
124;392247;393112;409420;;;
125;391807;393172;408793;;;
126;391807;393225;408816;;;
127;391807;392820;401636;;;
128;391761;392872;404283;;;
129;391761;392920;409646;;;
130;391672;392915;407016;;;
131;391614;392527;410507;;;
132;391559;392138;403044;;;
133;390948;392178;404931;;;
134;390948;392178;407468;;;
135;390948;392201;407552;;;
136;390835;392048;403908;;;
137;390795;392031;409083;;;
138;390795;391749;408495;;;
139;390780;391327;406501;;;
140;390455;391222;403925;;;
141;390455;391367;402195;;;
142;390455;391315;407239;;;
143;390455;391124;408687;;;
144;390455;391003;404199;;;
145;390455;391004;405940;;;
146;390455;390731;402658;;;
147;390446;390865;416483;;;
148;390446;390824;404561;;;
149;390446;390784;398953;;;
150;390339;390879;408559;;;
151;390181;390913;408856;;;
152;390181;390726;406135;;;
153;389518;390757;403949;;;
154;389518;390809;411605;;;
155;389256;390671;403959;;;
156;389256;390428;400321;;;
157;389231;390196;401963;;;
158;389231;389755;402295;;;
159;389231;389592;395937;;;
160;389231;389613;402312;;;
161;389231;389518;400019;;;
162;389231;389766;409739;;;
163;389231;389620;405721;;;
164;388946;389564;409220;;;
165;388946;389676;405014;;;
166;388946;389766;412885;;;
167;388946;389473;402825;;;
168;388946;389518;409916;;;
169;388946;389346;408457;;;
170;388946;389321;400744;;;
171;388946;389295;397949;;;
172;388946;389293;403273;;;
173;388946;389311;402455;;;
174;388946;389337;409067;;;
175;388946;389479;408755;;;
176;388730;389426;402422;;;
177;388730;389399;406333;;;
178;388730;389317;400942;;;
179;388477;389421;405718;;;
180;388024;389217;414355;;;
181;388024;389050;399855;;;
182;388024;389085;401238;;;
183;388024;388843;400338;;;
184;388024;388588;418977;;;
185;388024;388368;400639;;;
186;388024;388417;403743;;;
187;388024;388373;405981;;;
188;388024;388496;403351;;;
189;388024;388407;403569;;;
190;388024;388507;400552;;;
191;388024;388479;402306;;;
192;387889;388428;404885;;;
193;387889;388501;402719;;;
194;387889;388444;409650;;;
195;387889;388429;409341;;;
196;387889;388367;408475;;;
197;387889;388276;404982;;;
198;387889;388333;399582;;;
199;387889;388222;402884;;;
