1;366393;382302;407334;;;
2;359492;377900;404591;;;
3;358018;373831;392123;;;
4;355232;370761;392653;;;
5;355417;367679;387647;;;
6;351694;365637;386362;;;
7;350943;364013;389372;;;
8;348566;362840;386001;;;
9;350489;361651;384065;;;
10;346348;360320;382948;;;
11;344896;359108;377548;;;
12;344389;357022;377192;;;
13;342666;355860;381136;;;
14;343633;354168;373744;;;
15;339556;353374;382268;;;
16;341866;352126;370821;;;
17;337411;350947;374350;;;
18;337411;349377;369368;;;
19;337105;348165;366721;;;
20;333594;346851;368184;;;
21;333468;345804;365585;;;
22;333468;344670;367318;;;
23;332355;343527;358408;;;
24;331426;342479;364028;;;
25;330879;341090;359141;;;
26;330659;339621;354487;;;
27;327169;338536;355827;;;
28;327918;338064;357541;;;
29;327078;337239;351373;;;
30;327301;336852;361729;;;
31;327301;336681;355453;;;
32;327204;335558;356057;;;
33;326067;335109;354932;;;
34;326786;334797;355636;;;
35;326786;334182;350527;;;
36;325946;333706;350342;;;
37;326339;333585;352099;;;
38;325921;332931;346077;;;
39;326408;332484;348473;;;
40;326195;331754;350026;;;
41;325155;331414;348318;;;
42;323494;330927;345175;;;
43;323924;330561;350252;;;
44;322790;329884;346407;;;
45;322655;329441;347255;;;
46;322328;328615;343364;;;
47;319735;328076;344280;;;
48;320778;327012;349158;;;
49;320917;326424;346664;;;
50;319655;325708;346025;;;
51;318452;325089;350301;;;
52;319359;324384;340935;;;
53;319053;323828;342002;;;
54;317834;322963;339200;;;
55;317834;322837;341024;;;
56;317834;322227;337389;;;
57;317642;322177;344946;;;
58;316414;321890;340382;;;
59;316414;321485;342064;;;
60;316336;321356;341074;;;
61;316881;321034;339264;;;
62;316467;320738;338231;;;
63;316493;320369;336644;;;
64;316188;319940;333463;;;
65;315522;319771;334265;;;
66;315213;319336;338458;;;
67;314959;318850;341437;;;
68;314959;318606;330897;;;
69;314389;318163;338013;;;
70;314389;318042;338426;;;
71;314713;317764;332688;;;
72;314666;317734;333421;;;
73;314294;317483;336281;;;
74;314268;317319;335591;;;
75;314254;317149;340726;;;
76;314112;316944;337130;;;
77;313675;316778;335781;;;
78;313505;316772;342715;;;
79;313470;316340;330280;;;
80;313378;316143;334837;;;
81;313220;315980;330620;;;
82;313057;315874;337063;;;
83;313057;315479;333628;;;
84;313057;315292;331853;;;
85;312749;314958;335861;;;
86;312749;314893;329619;;;
87;312749;314703;331799;;;
88;312499;314410;331166;;;
89;312501;314578;330649;;;
90;312189;314539;334150;;;
91;312097;314389;334010;;;
92;312156;314189;336664;;;
93;312092;314109;331323;;;
94;311877;314061;328694;;;
95;311702;314046;332787;;;
96;311652;313952;339777;;;
97;311462;314114;336578;;;
98;311257;313831;334777;;;
99;311099;313590;329819;;;
100;310979;313578;332631;;;
101;310949;313205;329773;;;
102;310886;313273;335141;;;
103;310824;312947;334632;;;
104;310824;312745;331343;;;
105;310783;312605;328638;;;
106;310781;312461;332261;;;
107;310781;312381;333204;;;
108;310745;312673;329100;;;
109;310745;312718;330294;;;
110;310745;312260;327547;;;
111;310736;312322;326306;;;
112;310736;312150;328785;;;
113;310736;312467;329615;;;
114;310736;312270;334484;;;
115;310691;312345;337289;;;
116;310550;312326;333442;;;
117;310552;312073;323273;;;
118;310550;312524;331868;;;
119;310550;312436;335897;;;
120;310498;312632;339234;;;
121;310498;312242;327283;;;
122;310498;312383;329408;;;
123;310498;312487;337151;;;
124;310498;312153;330449;;;
125;310493;312221;331915;;;
126;310493;312272;334540;;;
127;310395;312335;335725;;;
128;310395;312368;331686;;;
129;310395;312196;332218;;;
130;310395;312218;333246;;;
131;310303;312306;333243;;;
132;310303;312079;329100;;;
133;310303;312446;336327;;;
134;310285;311943;332444;;;
135;310285;312143;333122;;;
136;310274;311780;326711;;;
